METRIC,BASE_VALUE,METRIC_PATH,ERROR_THRESHOLD,WARNING_THRESHOLD,METRIC_HEADER
orderentryProductCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FProduct%7CCalls%20per%20Minute,50,100,header
orderentryProductErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FProduct%7CErrors%20per%20Minute,50,100,header
orderentryProductErrorPerc,Derived_Error2,orderentryProductCalls:orderentryProductErrors,50,100,header
productModResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2Fproductmodifications%2F.GET%7CAverage%20Response%20Time%20%28ms%29,50,100,header
productModCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2Fproductmodifications%2F.GET%7CCalls%20per%20Minute,50,100,header
productModErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2Fproductmodifications%2F.GET%7CErrors%20per%20Minute,50,100,header
productModErrorPerc,Derived_Error2,productModCalls:productModErrors,50,100,header
profitDispatchResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CProfitDispatchServices%7CAverage%20Response%20Time%20%28ms%29,50,100,header
profitDispatchCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CProfitDispatchServices%7CCalls%20per%20Minute,50,100,header
profitDispatchErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CProfitDispatchServices%7CErrors%20per%20Minute,50,100,header
profitDispatchErrorPerc,Derived_Error2,profitDispatchCalls:profitDispatchErrors,50,100,header
