METRIC,BASE_VALUE,METRIC_TYPE,METRIC_APP,METRIC_PATH,VERYLOW_THRESHOLD,LOW_THRESHOLD,HIGH_THRESHOLD,VERYHIGH_THRESHOLD
systemResponseTime,1,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CSystem%7CAverage%20Response%20Time%20%28ms%29,-5,-3,3,5
systemCalls,32,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CSystem%7CCalls%20per%20Minute,-15,-10,10,15
systemErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CSystem%7CErrors%20per%20Minute,-2,-1,1,2
systemErrorPerc,Derived_Error,SINGLE,N/A,systemCalls:systemErrors,-0.02,-0.01,0.01,0.02
timeclockResponseTime,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CTimeClock%7CAverage%20Response%20Time%20%28ms%29,-210,-200,200,210
timeclockCalls,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CTimeClock%7CCalls%20per%20Minute,-2,-1,1,2
timeclockErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CTimeClock%7CErrors%20per%20Minute,-2,-1,1,2
timeclockErrorPerc,Derived_Error,SINGLE,N/A,timeclockCalls:timeclockErrors,-0.02,-0.01,0.01,0.02

remoteLoyaltyResponseTime,211,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20LOYALTY-STAGE%7CAverage%20Response%20Time%20%28ms%29,-75,-50,50,75
remoteLoyaltyCalls,5,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20LOYALTY-STAGE%7CCalls%20per%20Minute,-2,-1,1,2
remoteLoyaltyErrors,0,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20LOYALTY-STAGE%7CErrors%20per%20Minute,-2,-1,1,2
remoteLoyaltyErrorPerc,Derived_Error,SINGLE,N/A,remoteLoyaltyCalls:remoteLoyaltyErrors,-0.02,-0.01,0.01,0.02
remoteMappingResponseTime,143,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CAverage%20Response%20Time%20%28ms%29,-75,-50,50,75
remoteMappingCalls,5,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CCalls%20per%20Minute,-2,-1,1,2
remoteMappingErrors,0,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CErrors%20per%20Minute,-2,-1,1,2
remoteMappingErrorPerc,Derived_Error,SINGLE,N/A,remoteMappingCalls:remoteMappingErrors,-0.02,-0.01,0.01,0.02
remoteProfanityResponseTime,63,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%20languagefilter-qa.papajohns.com%3A443%7CAverage%20Response%20Time%20%28ms%29,-15,-10,10,15
remoteProfanityCalls,4,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%20languagefilter-qa.papajohns.com%3A443%7CCalls%20per%20Minute,-4,-2,2,4
remoteProfanityErrors,0,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%20languagefilter-qa.papajohns.com%3A443%7CErrors%20per%20Minute,-2,-1,1,2
remoteProfanityErrorPerc,Derived_Error,SINGLE,N/A,remoteProfanityCalls:remoteProfanityErrors,-0.02,-0.01,0.01,0.02

serverOverallCPULapse,0,LAPSE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CCPU%7C%25Busy,-0.02,-0.01,0.01,0.02
gddOverallCPULapse,0,LAPSE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CCPU%7C%25Busy,-0.02,-0.01,0.01,0.02
serverJavaCPULapse,0,LAPSE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CJVM%7CProcess%20CPU%20Usage%20%25,-0.02,-0.01,0.01,0.02
gddJavaCPULapse,0,LAPSE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CJVM%7CProcess%20CPU%20Usage%20%25,-0.02,-0.01,0.01,0.02
serverThreadLapse,0,LAPSE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CJVM%7CThreads%7CCurrent%20No.%20of%20Threads,-35,-20,20,35
gddThreadLapse,0,LAPSE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CJVM%7CThreads%7CCurrent%20No.%20of%20Threads,-10,-5,5,10

virtProfanityResponseTime,63,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%2010.75.5.15%3A8101%7CAverage%20Response%20Time%20%28ms%29,-15,-10,10,15
virtProfanityCalls,4,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%2010.75.5.15%3A8101%7CCalls%20per%20Minute,-4,-2,2,4
virtProfanityErrors,0,SINGLE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%2010.75.5.15%3A8101%7CErrors%20per%20Minute,-2,-1,1,2

virtProfanityResponseLapse,63,LAPSE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%2010.75.5.15%3A8101%7CAverage%20Response%20Time%20%28ms%29,-75,-50,50,75
virtProfanityCallsLapse,4,LAPSE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%2010.75.5.15%3A8101%7CCalls%20per%20Minute,-2,-1,1,2
virtProfanityErrorsLapse,0,LAPSE,FOCUS,Backends%7CDiscovered%20backend%20call%20-%2010.75.5.15%3A8101%7CErrors%20per%20Minute,-2,-1,1,2

virtLoyaltyResponseTime,161,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20Discovered%20backend%20call%20-%20lou-l-smtbr-p01.us.pjids.net%3A8008%7CAverage%20Response%20Time%20%28ms%29,-75,-50,50,75
virtLoyaltyCalls,5,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20Discovered%20backend%20call%20-%20lou-l-smtbr-p01.us.pjids.net%3A8008%7CCalls%20per%20Minute,-2,-1,1,2
virtLoyaltyErrors,0,SINGLE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20Discovered%20backend%20call%20-%20lou-l-smtbr-p01.us.pjids.net%3A8008%7CErrors%20per%20Minute,-2,-1,1,2

virtLoyaltyResponseLapse,211,LAPSE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20Discovered%20backend%20call%20-%20lou-l-smtbr-p01.us.pjids.net%3A8008%7CAverage%20Response%20Time%20%28ms%29,-75,-50,50,75
virtLoyaltyCallsLapse,5,LAPSE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20Discovered%20backend%20call%20-%20lou-l-smtbr-p01.us.pjids.net%3A8008%7CCalls%20per%20Minute,-2,-1,1,2
virtLoyaltyErrorsLapse,0,LAPSE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20Discovered%20backend%20call%20-%20lou-l-smtbr-p01.us.pjids.net%3A8008%7CErrors%20per%20Minute,-2,-1,1,2

mappingResponseLapse,0,LAPSE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CAverage%20Response%20Time%20%28ms%29,-75,-50,50,75
mappingCallsLapse,0,LAPSE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CCalls%20per%20Minute,-2,-1,1,2
mappingErrorsLapse,0,LAPSE,FOCUS,Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CErrors%20per%20Minute,-2,-1,1,2
